Date,Close,High,Low,Open,Volume
2021-05-10,362144.73323079944,384610.25753729045,337602.61307273805,359590.06039875,62691789007.0
2021-05-11,381973.9105179906,382845.1018486619,346713.99391210824,361776.20390711725,52679737865.0
2021-05-12,346893.5160574615,399717.8122536242,346893.5160574615,382517.6892481148,69023382175.0
2021-05-13,340415.32801651955,369499.7499333322,325228.6269637048,350839.9608861655,78398214539.0
2021-05-14,373759.93907213956,382186.1157604605,339338.82151450217,340871.0793769285,48174271215.0
2021-05-15,333357.4791867435,378353.1334016919,333357.4791867435,373475.36571250856,42422321751.0
2021-05-16,328719.58887632936,355419.3527031094,307044.34230552614,333697.30733752996,47359478734.0
2021-05-17,300762.81210630387,328743.3685698509,286707.93945774436,328154.8714885041,54061732774.0
2021-05-18,309712.4328667894,326425.105710648,297464.749814786,300256.5261008665,40416525218.0
2021-05-19,225469.56893844903,315014.61104091257,178901.97184102982,309949.49158009887,84482912776.0
2021-05-20,255122.08616756648,274258.90078825504,198855.9086303562,223541.64650470018,67610826680.0
2021-05-21,222715.39722885936,269224.7866474986,193643.8830102235,254026.85567356646,53774070802.0
2021-05-22,210353.20029996336,227604.88698709756,198663.0537499711,223209.58086910844,42089937660.0
2021-05-23,193298.68597284704,218481.24719001353,159202.52027606964,210597.08197331429,56005721977.0
2021-05-24,242229.59983610362,244887.26580923796,191563.21575298905,192415.03435121477,53697121740.0
2021-05-25,248005.6941035986,252028.7574180141,219392.39198505878,242728.25754851103,49558333256.0
2021-05-26,264688.5696268827,266799.4145008251,243008.75950247794,248044.52904993296,42499766020.0
2021-05-27,250741.7010802254,264693.49110625684,242139.5143931955,264693.49110625684,33373635283.0
2021-05-28,221733.58446407318,253020.95003020763,214078.4470011592,251289.68543817848,39999114805.0
2021-05-29,208869.59797225893,235206.00002869964,202361.81394398957,221198.5525450185,33773720220.0
2021-05-30,219021.29006988555,226524.08537580818,200560.7090855688,208757.32113144547,25876619428.0
2021-05-31,248767.7180736065,248851.0700379163,208868.77026890963,218736.6048584506,31007383150.0
2021-06-01,241306.64349056035,251039.40584164113,231927.71313612163,248091.05940037966,27363223090.0
2021-06-02,247959.52167892456,256688.77201525122,234148.86625912786,241392.5680463612,27723267359.0
2021-06-03,261612.37657369673,264922.7873043716,244437.24126119167,248165.79877578467,30038207402.0
2021-06-04,246316.62001202255,261799.21382702887,234811.90138263255,261799.21382702887,34173841611.0
2021-06-05,241037.12538374215,258163.31434683502,234408.38481467217,246630.3866924867,30496672724.0
2021-06-06,248781.22977152467,251378.76421485096,239716.3345418796,240961.24511993676,25311639414.0
2021-06-07,237343.21955801547,260701.4554822594,236768.8829150498,248593.81088881195,30600111277.0
2021-06-08,230670.38700782508,240145.50991366804,212171.21715114266,237740.80798036605,41909736778.0
2021-06-09,238992.89944423735,240532.58426644653,221027.26269243658,230007.0386992693,36075832186.0
2021-06-10,226462.76821687818,240064.1041707471,223153.40889316052,239256.3775536418,28753626390.0
2021-06-11,215673.476095967,228652.35676080734,213208.73211430013,226585.58149762452,24832564195.0
2021-06-12,217388.36558389664,224237.02916990966,207609.13999345154,215763.5839092359,25724364410.0
2021-06-13,229841.40854796767,233412.76953727752,211904.89800591767,217407.22379804403,27092945370.0
2021-06-14,232544.41924242675,238824.83092360944,226267.56444860995,229876.12734791636,26964576331.0
2021-06-15,239237.5193394944,241829.9309701994,230460.95569009334,237114.10232278705,29005279219.0
2021-06-16,216946.64043970406,234078.08643758297,215726.78466573358,233183.4062280804,24101926180.0
2021-06-17,217344.16175097227,225148.53189072758,211873.8703154996,216913.91260186583,21871633186.0
2021-06-18,204491.47229135782,217820.00169537216,196755.7120481506,217581.0191310346,22752818388.0
2021-06-19,199613.68223181367,208768.88660797477,198732.75979419798,204805.3955643475,18765854896.0
2021-06-20,205832.1280136034,208491.04672694206,187836.02283040434,198957.51480907202,22535930423.0
2021-06-21,173036.55272289366,207032.43209224194,171088.32918672636,205736.22627688944,33745173825.0
2021-06-22,171799.79614134505,182631.23402198777,156465.73033681512,172873.4616075419,35547251725.0
