Date,Close,High,Low,Open,Volume
2021-05-19,3390496.6223090887,3990087.076091051,2811314.738158822,3935005.1630837917,126358098747.0
2021-05-20,3736881.4363621473,3890840.701994419,3211652.925257921,3367701.7615510225,88281943359.0
2021-05-21,3418191.486894965,3864193.8440709114,3080241.909526348,3719857.7707625628,82051616861.0
2021-05-22,3439444.0454986095,3558050.624638796,3242171.466264367,3424270.1402921677,57377273240.0
2021-05-23,3185993.5845412016,3508402.740712166,2861329.8539282084,3438969.0779982805,78469274361.0
2021-05-24,3546590.1993237734,3650054.01279974,3165881.0195235014,3179559.510851741,67359584098.0
2021-05-25,3518757.1753896475,3644667.2299211025,3351919.7404568195,3554818.5549116135,56211915803.0
2021-05-26,3600488.0938750505,3736820.9469065666,3473273.757827997,3517877.751766205,51346735160.0
2021-05-27,3521940.92513752,3699943.8545486927,3412987.9620119333,3602567.2846884727,43210968721.0
2021-05-28,3270935.8130589724,3560425.1042146683,3186768.4938390255,3528365.3348311186,55200191952.0
2021-05-29,3171835.4726775885,3411759.918685913,3087341.009301424,3269703.47462368,45231013335.0
2021-05-30,3269151.195156455,3335356.7253266573,3071471.6543186903,3171041.951239586,31646080921.0
2021-05-31,3420772.1317158937,3433178.1969223022,3137555.131800413,3267361.2083673477,39009847639.0
2021-06-01,3361402.98380363,3472439.7907776833,3279134.8187334538,3417192.8739892244,34639423297.0
2021-06-02,3442976.057023287,3503099.35453856,3295556.811109185,3362777.060844898,33070867190.0
2021-06-03,3592659.899301052,3617416.9091448784,3412627.8886846304,3445196.27059114,35460750427.0
2021-06-04,3380597.4692144394,3595749.514570713,3272779.130788207,3595749.514570713,41831090187.0
2021-06-05,3257590.192699313,3474362.2101026773,3197889.9634473324,3379291.7559957504,35959473399.0
2021-06-06,3286033.838001609,3338632.8199238777,3234923.111442089,3256367.1603341103,28913440585.0
2021-06-07,3075133.9508246183,3371083.086325407,3067797.5462622643,3283549.4752135277,33683936663.0
2021-06-08,3067063.798428297,3116979.0529071093,2850985.262209475,3077774.0113238096,49902050442.0
2021-06-09,3421896.018642068,3439511.6934696436,2975730.9842024446,3061964.0720193386,53972919008.0
2021-06-10,3363022.239999175,3512535.709609151,3284679.0889520645,3425963.8450484276,43576032854.0
2021-06-11,3420913.512396097,3446047.060152769,3302716.7582656145,3362512.1957731247,38699736985.0
2021-06-12,3257641.3760848045,3427742.3782128096,3182109.37405622,3421440.0212076902,37924228550.0
2021-06-13,3582497.6707634926,3603107.0367536545,3194563.401316166,3257941.3178822994,40669112838.0
2021-06-14,3685178.7005746365,3754806.3590573072,3551291.196421981,3575085.743863106,43148914673.0
2021-06-15,3702385.982095599,3783844.16114223,3629375.925061226,3704300.8849793673,46420149185.0
2021-06-16,3513702.9055538177,3712511.7022043467,3498031.8414491415,3680616.9366019964,39211635100.0
2021-06-17,3486804.425812125,3620598.153412342,3430559.9698952436,3513186.0607380867,37096670047.0
2021-06-18,3279149.493690133,3499060.5201197863,3230458.7032796144,3491016.8542306423,36200887275.0
2021-06-19,3263446.5741916895,3340591.389751911,3200881.5070552826,3285314.4071985483,31207279719.0
2021-06-20,3270999.1659207344,3304094.4145646095,3063347.4551306963,3258614.9341864586,36664034054.0
2021-06-21,2902503.6662240624,3273138.130338192,2867615.209459126,3265762.3539408445,52809038594.0
2021-06-22,2978461.0630334616,3050554.114238262,2647493.5437122583,2897526.7083551288,58964353058.0
2021-06-23,3090007.19838202,3184420.1428445578,2911294.5021636486,2979382.3639723063,46317108925.0
2021-06-24,3176084.4095249176,3227984.362413168,2967424.7797590494,3086321.278775096,33123368116.0
2021-06-25,2898938.0096767545,3251660.794349313,2872650.1513032317,3175779.0988408327,40230904226.0
2021-06-26,2949196.336008668,2990549.469116628,2765775.663139522,2894987.403960943,38585385521.0
2021-06-27,3174912.2026194334,3175506.3594020605,2938703.0261313915,2958473.414110422,35511640894.0
2021-06-28,3155183.691955805,3227163.28069067,3106413.0840979815,3177613.110499978,33892523752.0
2021-06-29,3286528.4914194345,3348316.859629154,3138520.8155350685,3158960.882634759,37901460044.0
2021-06-30,3210756.679123163,3305493.904335737,3123279.978209138,3290249.48775208,34059036099.0
2021-07-01,3076179.4520065784,3210312.135313511,3013107.919901848,3210312.135313511,37838957079.0
2021-07-02,3105952.433628559,3109850.6032186747,3002744.5370800495,3074116.3678529263,38728974942.0
2021-07-03,3176644.2054333687,3198700.665322423,3060655.4953944683,3102046.7475972176,24383958643.0
2021-07-04,3233384.0306196213,3292923.193273902,3151714.675367117,3176371.108068824,24924307911.0
2021-07-05,3092112.517776847,3233069.0559396744,3043334.3934777975,3233069.0559396744,26721554282.0
2021-07-06,3136936.6360652447,3210545.8608430624,3078726.809730649,3090051.223252058,26501259870.0
2021-07-07,3102129.7863764763,3206800.8834836483,3100660.143153906,3136064.728883028,24796027477.0
2021-07-08,3012520.5637089014,3106947.467276573,2944331.408906579,3105270.5850316286,29910396946.0
2021-07-09,3096877.9415141344,3119261.1876336336,2961346.663250506,3011082.060028553,27436021028.0
2021-07-10,3071451.610475421,3134542.8284976482,3034386.9650126696,3098090.2361061573,22971873468.0
2021-07-11,3137394.065202713,3168961.6866488457,3055528.2087010145,3070403.2458872795,20108729370.0
