Price,Close,High,Low,Open,Volume
Ticker,ZEC-USD,ZEC-USD,ZEC-USD,ZEC-USD,ZEC-USD
Date,,,,,
2021-08-08,123.485595703125,136.1796875,121.67770385742188,134.2105712890625,288895825
2021-08-09,131.0436553955078,132.36605834960938,118.92022705078125,123.51040649414062,299789663
2021-08-10,131.86410522460938,134.3590087890625,128.08360290527344,130.77987670898438,256211974
2021-08-11,137.52769470214844,142.69337463378906,131.69891357421875,131.9204559326172,313950664
2021-08-12,133.390380859375,142.80279541015625,130.6819305419922,137.44163513183594,303541543
2021-08-13,144.91268920898438,144.93418884277344,132.87139892578125,133.622802734375,293605542
2021-08-14,144.7413330078125,147.55429077148438,138.0483856201172,144.9347686767578,310704668
2021-08-15,154.41317749023438,156.37184143066406,140.83676147460938,144.96612548828125,360443268
2021-08-16,150.7583770751953,157.81138610839844,149.00540161132812,154.83644104003906,327317884
2021-08-17,141.5625457763672,159.8243408203125,140.8594970703125,150.26467895507812,383981189
2021-08-18,141.34585571289062,144.85643005371094,136.3685302734375,141.37437438964844,328931235
2021-08-19,147.07730102539062,147.66566467285156,137.79891967773438,141.0189971923828,259653209
2021-08-20,153.70362854003906,155.66546630859375,146.20179748535156,147.1236114501953,288869088
2021-08-21,155.74986267089844,157.82952880859375,148.65194702148438,153.8289337158203,284006863
2021-08-22,160.0013885498047,161.58737182617188,153.24288940429688,155.9136505126953,288860318
2021-08-23,165.1527099609375,168.4577178955078,159.91847229003906,160.55406188964844,323469405
2021-08-24,155.48672485351562,170.88946533203125,152.9534454345703,165.28643798828125,365103549
2021-08-25,163.5309600830078,164.1549835205078,150.94407653808594,155.65170288085938,329118517
2021-08-26,144.13079833984375,165.0604248046875,143.470458984375,163.84120178222656,373774118
2021-08-27,152.14804077148438,152.38059997558594,139.88192749023438,144.1163787841797,280324685
2021-08-28,150.48597717285156,152.4300994873047,147.0082550048828,152.33831787109375,179360142
2021-08-29,148.40806579589844,154.25535583496094,146.2948455810547,150.5946044921875,187865416
2021-08-30,140.90235900878906,149.05596923828125,140.73355102539062,148.586669921875,202781305
2021-08-31,143.99676513671875,148.0550994873047,139.18707275390625,141.16342163085938,224948694
2021-09-01,151.4566192626953,151.79124450683594,140.76751708984375,143.92503356933594,233106201
2021-09-02,150.7604217529297,154.76829528808594,150.4486083984375,151.71739196777344,217848665
2021-09-03,156.4354705810547,159.7642059326172,147.59149169921875,150.77420043945312,353359315
2021-09-04,160.4178009033203,162.2631072998047,155.34007263183594,156.4283447265625,275925971
2021-09-05,172.67823791503906,175.17489624023438,159.3286590576172,160.14710998535156,408181710
2021-09-06,170.99038696289062,175.8605194091797,165.2525177001953,172.8472137451172,359212127
2021-09-07,135.7981719970703,171.6642608642578,119.76849365234375,171.08322143554688,663534571
